sut,workload,metric,value_mean,value_std,value_sum,value_support,total_value_support
DummySystem,legal-tiny.json,mean_absolute_error,,0.0,0.0,0,1
DummySystem,legal-tiny.json,mean_squared_error,,0.0,0.0,0,1
DummySystem,legal-tiny.json,rae_score,0.0,0.0,0.0,1,1
DummySystem,legal-tiny.json,runtime,0.1263248920440673,0.0,0.1263248920440673,1,1
DummySystem,legal-tiny.json,token_usage_metrics,0.0,0.0,0.0,1,1
DummySystem,legal-tiny.json,token_usage_metrics_input,0.0,0.0,0.0,1,1
DummySystem,legal-tiny.json,token_usage_metrics_output,0.0,0.0,0.0,1,1
DummySystem,legal-tiny.json,token_usage_subtask_eval,0.0,0.0,0.0,1,1
DummySystem,legal-tiny.json,token_usage_subtask_eval_input,0.0,0.0,0.0,1,1
DummySystem,legal-tiny.json,token_usage_subtask_eval_output,0.0,0.0,0.0,1,1
DummySystem,legal-tiny.json,token_usage_sut,0.0,0.0,0.0,1,1
DummySystem,legal-tiny.json,token_usage_sut_input,0.0,0.0,0.0,1,1
DummySystem,legal-tiny.json,token_usage_sut_output,0.0,0.0,0.0,1,1
DummySystem,legal-easy-5.json,f1,0.0,0.0,0.0,1,1
DummySystem,legal-easy-5.json,mean_absolute_error,,0.0,0.0,0,1
DummySystem,legal-easy-5.json,mean_squared_error,,0.0,0.0,0,1
DummySystem,legal-easy-5.json,precision,0.0,0.0,0.0,1,1
DummySystem,legal-easy-5.json,rae_score,0.0,0.0,0.0,1,1
DummySystem,legal-easy-5.json,recall,0.0,0.0,0.0,1,1
DummySystem,legal-easy-5.json,runtime,0.34322776794433596,0.12888383798930836,1.7161388397216797,5,5
DummySystem,legal-easy-5.json,success,0.0,0.0,0.0,3,3
DummySystem,legal-easy-5.json,token_usage_metrics,0.0,0.0,0.0,5,5
DummySystem,legal-easy-5.json,token_usage_metrics_input,0.0,0.0,0.0,5,5
DummySystem,legal-easy-5.json,token_usage_metrics_output,0.0,0.0,0.0,5,5
DummySystem,legal-easy-5.json,token_usage_subtask_eval,0.0,0.0,0.0,5,5
DummySystem,legal-easy-5.json,token_usage_subtask_eval_input,0.0,0.0,0.0,5,5
DummySystem,legal-easy-5.json,token_usage_subtask_eval_output,0.0,0.0,0.0,5,5
DummySystem,legal-easy-5.json,token_usage_sut,0.0,0.0,0.0,5,5
DummySystem,legal-easy-5.json,token_usage_sut_input,0.0,0.0,0.0,5,5
DummySystem,legal-easy-5.json,token_usage_sut_output,0.0,0.0,0.0,5,5
